K,Inertia,Silhouette (K-Means),Davies-Bouldin (K-Means),Calinski-Harabasz (K-Means),BIC (GMM),AIC (GMM),Silhouette (GMM)
2,47362.77369349543,0.22189179610974535,1.7804837424530406,706.509645158153,44396.37444971456,41637.06616126027,0.1454785275154328
3,41499.24129156541,0.21984778312582484,1.4454704623326375,610.3765422279188,38804.72251075715,34662.76733589735,0.1528849003386366
4,36519.85876366263,0.1890088864012839,1.532030258023218,595.5898753579015,14563.730515290797,9039.12845402548,0.11469758858630104
5,34009.16570526727,0.17670090855435727,1.462767622302858,533.6376243996357,3249.301543108658,-3657.947404562173,0.08557659764301359
6,31801.08047041994,0.18915090295998924,1.444827489251362,497.11236782820566,-1807.1666665395842,-10097.062500615928,0.034819667171505655
7,29632.0502311638,0.18440147087164288,1.5736941381835983,480.18963760772675,-7530.218013117801,-17202.760733599658,0.050428799370949046
8,27766.662330183313,0.1902066825827196,1.4821046728325566,467.21275102582143,-8071.888618891016,-19127.078225778387,0.02358943054317652
9,26351.869663478574,0.19219258940058426,1.325707846724593,450.26887545301474,-5843.868708702561,-18281.705201995443,0.06456045257085326
10,25292.3749234658,0.18826376249818993,1.420048290604058,430.490772726816,-14222.76045869085,-28043.243838389244,0.05196651495420014
