Tỉ lệ,Dữ liệu,Train R²,Test R²,ΔR²,Train MSE,Test MSE,Overfit
80:20 (4:1),Dữ liệu gốc,0.822,0.8093,0.0126,16.0669,17.2679,Không
70:30 (7:3),Dữ liệu gốc,0.822,0.8126,0.0095,15.8402,17.5262,Không
60:40 (6:4),Dữ liệu gốc,0.8253,0.81,0.0153,15.8734,17.0314,Không
80:20 (4:1),Dữ liệu PCA,0.8114,0.7993,0.0121,17.0236,18.1756,Không
70:30 (7:3),Dữ liệu PCA,0.8112,0.8031,0.0081,16.8019,18.4058,Không
60:40 (6:4),Dữ liệu PCA,0.8149,0.7997,0.0151,16.8195,17.9531,Không
80:20 (4:1),Dữ liệu Select KBest,0.8062,0.7985,0.0077,17.4916,18.2484,Không
70:30 (7:3),Dữ liệu Select KBest,0.8057,0.8017,0.004,17.2939,18.539,Không
60:40 (6:4),Dữ liệu Select KBest,0.809,0.7979,0.0111,17.3492,18.1168,Không
